Ax,Ay,Az,Gx,Gy,Gz,Pitch,Roll,AccelMag,GyroMag
-13736,-2508,7860,-19482,4124,-16476,-9.005060170789118,60.22099055452175,16023.337979335018,25845.972142676314
-6016,10524,16344,-12704,-4587,7432,31.143326542297803,20.207962239360356,20348.787875448503,15416.446056079203
-6984,60,18392,-657,211,-272,0.17474048371202558,20.793287822490825,19673.47249470718,741.7236682215284
-12600,18884,17608,32767,-14939,15996,41.09384805395181,35.586896729711285,28729.89940810792,39404.59397075422
-7144,276,18440,-558,31,-99,0.7996060677695449,21.17729714014655,19777.42430146049,567.5614504174856
-6912,28,18464,-506,66,-217,0.08137216524596697,20.5233918533354,19715.370247601237,554.5096933327676
-5048,-72,20660,-836,264,-835,-0.1939686666160499,13.730452821357375,21267.8886587268,1210.709296239192
-6776,60,18368,-378,-5,-177,0.17559189798036504,20.249140731951965,19578.079578957688,417.4182554704573
-6852,4,18512,-422,113,-199,0.011610437755178497,20.311442661463353,19739.403841048494,480.05624670448776
-6944,-116,18620,-413,132,-179,-0.33444074391328127,20.45211169660292,19873.021712864906,469.07781870389056
-396,2116,660,-32768,2762,-11061,70.01136678626277,30.96375653207352,2251.637626262272,34694.61325623907
-1392,7456,15036,11595,578,11001,26.27855379344809,5.289241608356103,16840.751052135412,15993.752217662995
-4196,5696,13248,26532,29786,3543,22.287937976485498,17.574403284194645,15018.666252367419,40046.29407323479
-6312,508,17804,-6295,4591,-1032,1.540475505883926,19.520794668291874,18896.60879628935,7859.346664958863
-6360,-584,19040,-390,322,-267,-1.6663874951930522,18.471052018845118,20082.63568359492,571.9029637971812
-6608,-460,18664,-396,45,-188,-1.330924616921502,19.496538256943683,19804.59946578067,440.6642712995915
-6580,-596,18732,-397,100,-212,-1.7194473014923932,19.354873363021078,19863.01689069412,461.03470585195646
-6540,-512,18536,-399,122,-210,-1.492111193721747,19.43421392676919,19662.579688331843,467.10277241737714
-6692,-564,18596,-407,89,-195,-1.6346359823922951,19.79189342870364,19771.499083276412,459.99456518528564
-6528,-568,18696,-398,130,-206,-1.6429446186485086,19.24744469800318,19811.05307650252,466.6261887206932
-6564,-668,18692,-390,108,-213,-1.9312011130089226,19.349554711296978,19822.290079604827,457.3106165397869
-6456,-600,18580,-392,94,-197,-1.7471972103120645,19.160826029197754,19678.82963999638,448.67471513335806
-6656,-592,18452,-397,138,-204,-1.72864995350243,19.835372997347278,19624.70646914241,467.1926797371722
-6660,-708,18580,-414,161,-214,-2.054356719243166,19.720215429860325,19750.27250444915,493.0649044497083
-6508,-588,18624,-424,147,-202,-1.7071860073939458,19.261537858293394,19737.101712257554,492.12701612490247
-6652,-1356,18196,-527,693,-216,-4.003687632209591,20.081141222102303,19421.180602630728,897.0139352317777
-6824,-840,18432,-417,177,-216,-2.4472154613816106,20.315847084224348,19672.6002348444,501.87050122516666
-6408,-688,18568,-418,80,-198,-2.0060134085628905,19.04005949270825,19654.679646333592,469.3910949304428
-6536,-632,18624,-430,161,-227,-1.8339906151245766,19.338268520749942,19747.71115851151,512.2011323689162
-6548,380,18508,-392,162,-238,1.1088774286638639,19.483420600191252,19635.854144905436,486.3661172409114
-7412,500,18000,427,-124,-2511,1.4713406183609405,22.38077543576562,19472.74361768264,2550.0639207674776
-7112,316,18472,-406,127,-207,0.9146252710846078,21.057461966352946,19796.34269252783,473.0898434758455
-7136,384,18324,-405,104,-184,1.1187070267311103,21.27766104696674,19668.22127188933,456.8336677610353
-7120,472,18372,-423,91,-197,1.3722712018896068,21.1836542379767,19709.073240515394,475.4145559403919
-7056,288,18260,-412,74,-196,0.8428740619760393,21.127449312996895,19577.989682293737,462.2077454997915
-7488,1224,17964,-3383,904,7788,3.5986659373079846,22.628017449339005,19500.60552905986,8539.019205974419
-7528,444,18204,663,9,-3345,1.291173641803857,22.466830756697433,19704.150222732267,3410.08430980819
-6116,-636,19344,2312,-337,-7818,-1.795568913359855,17.54541195070617,20297.790224554003,8159.65912278203
-8124,-772,18528,-4500,1594,11775,-2.1853235002248255,23.67608147700588,20245.546275662706,12705.961632241771
